===== seg01 | Exhibit header and initial definitions | range s000001–s000049 | score=0.5 =====
Rationale: Introduces key pricing terms (Applicable Margin, Base Rate, Benchmark) and framework definitions necessary to interpret the pricing engine, but contains no actual rates, margins, or formula mechanics.
Summary: Introductory exhibit header, signatories, and the opening of definitions surrounding the term loan framework.
Tags: exhibit, header, definitions

⟦s000001⟧ EXHIBIT 4.
⟦s000002⟧ 1
⟦s000003⟧ Execution Version
⟦s000004⟧ TERM LOAN CREDIT AGREEMENT
⟦s000005⟧ Dated as of December 29, 2023
⟦s000006⟧ among
⟦s000007⟧ LANDS’ END, INC. , as the Borrower,
⟦s000008⟧ BLUE TORCH FINANCE LLC, as Administrative Agent and Collateral Agent,
⟦s000009⟧ and
⟦s000010⟧ The Lenders Party Hereto
⟦s000011⟧ |US-DOCS\146917602.
⟦s000012⟧ 19||
⟦s000013⟧ TABLE OF CONTENTS
⟦s000014⟧ Section: Page
⟦s000015⟧ ```markdown
| Article I Definitions and Accounting Terms | Column 2 | Column 3 |
⟦s000392⟧ “ Floor ” means a rate of interest equal to 2.
⟦s000393⟧ 00% per annum.
⟦s000394⟧ “ Foreign Asset Control Regulations ” has the meaning set forth in Section 10.
⟦s000395⟧ 19 .
⟦s000396⟧ “ Foreign Lender ” means any Lender that is organized under the laws of a jurisdiction other than that in which the Borrower is resident for tax purposes.
⟦s000397⟧ For purposes of this definition, the United States, each State thereof and the District of Columbia shall be deemed to constitute a single jurisdiction.
⟦s000398⟧ “ Foreign Plan ” means any Plan not subject to ERISA by reason of Section 4(b)(4) of ERISA.
⟦s000399⟧ “ Foreign Subsidiary ” means as to any Person, any Subsidiary of such Person that is not a Domestic Subsidiary.

===== seg09 | Interest calculations and rate governance | range s000400–s000449 | score=0.5 =====
Rationale: Defines terms and governance for rate calculations (e.g., Term SOFR, Benchmark Replacement) that are essential to interpret the pricing engine, but does not itself provide the concrete margins, formulas, or fallback logic.
Summary: Further definitions and governance around rate calculations, including Term SOFR and Index selection.
Tags: Term SOFR, Benchmark Replacement, Interest Calculation

⟦s000400⟧ “ FRB ” means the Board of Governors of the Federal Reserve System of the United States.
⟦s000401⟧ “ FSHCO ” means an entity that owns (directly or indirectly) no material assets other than Equity Interests (or Equity Interests and debt interests) of one or more CFCs.
⟦s000402⟧ “ Fund ” means any Person (other than a natural Person) that is (or will be) engaged in making, purchasing, holding or otherwise investing in commercial loans and similar extensions of credit in the ordinary course of its business.
⟦s000403⟧ “ Funded Debt ” means all Indebtedness of the Borrower and its Restricted Subsidiaries for borrowed money that matures more than one year from the date of its creation or matures within one year from such date that is renewable or extendable, at the option of such Person, to a date more than one year from such date or arises under a revolving credit or similar agreement that obligates the lender or lenders to extend credit during a period of more than one year from such date, including Indebtedness in respect of the Loans.
⟦s000404⟧ “ GAAP ” means generally accepted accounting principles in the United States set forth in the opinions and pronouncements of the Accounting Principles Board and the American Institute of Certified Public Accountants and statements and pronouncements of the Financial Accounting Standards Board or such other principles as may be approved by a significant segment of the accounting profession in the United States, that are applicable to the circumstances as of the date of determination, consistently applied.
⟦s000405⟧ “German Guarantor” means Lands’ End GmbH.
⟦s000406⟧ “ Governmental Authority ” means the government of the United States or any other nation, or of any political subdivision thereof, whether state or local, and any agency, authority, instrumentality, regulatory body, court, central bank or other entity exercising executive, legislative, judicial, taxing, regulatory or administrative powers or functions of or pertaining to government (including any supra-national bodies such as the European Union or the European Central Bank).
⟦s000407⟧ - 22 -
⟦s000408⟧ “ Guarantee ” means, as to any Person, (a) any obligation, contingent or otherwise, of such Person guaranteeing or having the economic effect of guaranteeing any Indebtedness or other obligation payable or performable by another Person (the “ primary obligor ”) in any manner, whether directly or indirectly, and including any obligation of such Person, direct or indirect, (i) to purchase or pay (or advance or supply funds for the purchase or payment of) such Indebtedness or other obligation, (ii) to purchase or lease property, securities or services for the purpose of assuring the obligee in respect of such Indebtedness or other obligation of the payment or performance of such Indebtedness or other obligation, (iii) to maintain working capital, equity capital or any other financial statement condition or liquidity or level of income or cash flow of the primary obligor so as to enable the primary obligor to pay such Indebtedness or other obligation, or (iv) entered into for the purpose of assuring in any other manner the obligee in respect of such Indebtedness or other obligation of the payment or performance thereof or to protect such obligee against loss in respect thereof (in whole or in part), or (b) any Lien on any assets of such Person securing any Indebtedness or other obligation of any other Person, whether or not such Indebtedness or other obligation is assumed by such Person (or any right, contingent or otherwise, of any holder of such Indebtedness to obtain any such Lien).
⟦s000409⟧ The amount of any Guarantee shall be deemed to be an amount equal to the stated or determinable amount of the related primary obligation, or portion thereof, in respect of which such Guarantee is made or, if not stated or determinable, the maximum reasonably anticipated liability in respect thereof.
⟦s000410⟧ The term “Guarantee” as a verb has a corresponding meaning.
⟦s000411⟧ “ Guarantor ” means (a) the Borrower, (b) each Restricted Subsidiary (other than an Excluded Subsidiary and, in the case of the German Guarantor and the UK Guarantor, subject to Section 6.
⟦s000412⟧ 15) of the Borrower existing on the Closing Date, (c) each other Electing Foreign Guarantor and (d) each Person (in each case, other than any Excluded Subsidiary) that shall be required to execute and deliver a guaranty of all of the Obligations pursuant to Section 6.
⟦s000413⟧ 11 .
⟦s000414⟧ “ Guaranty and Security Agreement ” means the Term Loan Guaranty and Security Agreement dated as of the Closing Date among the Loan Parties and the Agent, as amended and in effect from time to time.
⟦s000415⟧ “ Hazardous Materials ” means all explosive or radioactive substances or wastes and all hazardous or toxic substances, wastes or other pollutants, including petroleum or petroleum distillates, asbestos or asbestos containing materials, polychlorinated biphenyls, radon gas, infectious or medical wastes and all other substances or wastes of any nature regulated pursuant to any Environmental Law.
⟦s000416⟧ “ Immaterial Subsidiary ” means, on any date of determination, any Foreign Subsidiary of the Borrower that, together with its Subsidiaries, (a) generates less than 2.
⟦s000417⟧ 5% of Consolidated EBITDA on a Pro Forma Basis for the four Fiscal Quarter period for which financial statements have been delivered (or are required to have been delivered) under Section 6.
⟦s000418⟧ 1(a) or (b) that has ended on or most recently prior to such date, and when taken together with all other Immaterial Subsidiaries, generates less than 5.
⟦s000419⟧ 0% of Consolidated EBITDA on a Pro Forma Basis for the four Fiscal Quarter period for which financial statements have been delivered (or are required to have been delivered) under Section 6.
⟦s000420⟧ 1(a) or (b) that has ended on or most recently prior to such date, or (b) has total assets of less than 2.
⟦s000421⟧ 5% of consolidated total assets as reflected in the financial statements most recently delivered on or prior to such date, and when taken together with all other Immaterial Subsidiaries, has total assets of less than 5.
⟦s000422⟧ 0% of consolidated total assets as reflected in the financial statements most recently delivered under Section 6.
⟦s000423⟧ 1(a) or (b) that has ended on or most recently prior to such date.
⟦s000424⟧ “ Indebtedness ” means, as to any Person at a particular time, without duplication, all of the following, whether or not included as indebtedness or liabilities in accordance with GAAP:
⟦s000425⟧ - 23 -
⟦s000426⟧ (a) all obligations of such Person for borrowed money and all obligations of such Person evidenced by bonds, debentures, notes, loan agreements or other similar instruments;
⟦s000427⟧ (b) the maximum amount of all direct or contingent obligations of such Person arising under letters of credit (including standby and commercial), bankers’ acceptances, bank guaranties, surety bonds and similar instruments;
⟦s000428⟧ (c) net obligations of such Person under any Swap Contract;
⟦s000429⟧ (d) all obligations of such Person to pay the deferred purchase price of property or services (other than trade accounts payable in the ordinary course of business and, in each case, not past due for more than sixty (60) days);
⟦s000430⟧ (e) indebtedness (excluding prepaid interest thereon) secured by a Lien on property owned by such Person (including indebtedness arising under conditional sales or other title retention agreements), whether or not such indebtedness shall have been assumed by such Person or is limited in recourse;
⟦s000431⟧ (f) all Attributable Indebtedness of such Person;
⟦s000432⟧ (g) all obligations of such Person in respect of Disqualified Stock of such Person; and
⟦s000433⟧ (h) all Guarantees of such Person in respect of any of the foregoing.
⟦s000434⟧ For all purposes hereof, the Indebtedness of any Person shall include the Indebtedness of any partnership or joint venture (other than a joint venture that is itself a corporation or limited liability company unless the Indebtedness of such joint venture is Guaranteed by such Person and covered by clause (h) above) in which such Person is a general partner or a joint venturer, unless such Indebtedness is expressly made non-recourse to such Person.
⟦s000435⟧ The amount of any net obligation under any Swap Contract on any date shall be deemed to be the Swap Termination Value thereof as of such date.
⟦s000436⟧ The amount of any Indebtedness that is only Indebtedness pursuant to clause (e) shall be the lesser of the indebtedness secured by a Lien on property of the applicable Person and the fair market value of such property, as reasonably determined by the Borrower, so long as such Indebtedness is non-recourse to the Loan Parties.
⟦s000437⟧ “ Indemnified Taxes ” means (a) Taxes, other than Excluded Taxes, imposed on or with respect to any payment made by or on account of any obligation of any Loan Party under any Loan Document, and (b) to the extent not otherwise described in (a), Other Taxes.
⟦s000438⟧ “ Indemnitees ” has the meaning specified in Section 10.
⟦s000439⟧ 4(b) .
⟦s000440⟧ “ Information ” has the meaning specified in Section 10.
⟦s000441⟧ 8 .
⟦s000442⟧ “ Insolvency Proceeding ” shall mean (a) any case, action or proceeding before any court or other Governmental Authority relating to bankruptcy, reorganization, insolvency, liquidation, receivership, dissolution, winding-up or relief of debtors, or (b) any general assignment for the benefit of creditors, composition, marshalling of assets for creditors or other similar arrangement in respect of its creditors generally or any substantial portion of its creditors; in each case covered by clauses (a) and (b) undertaken under any Debtor Relief Laws.
⟦s000443⟧ “ Intellectual Property ” means all present and future: trade secrets, know-how and other proprietary information; trademarks, trademark applications, internet domain names, service marks, trade
⟦s000444⟧ - 24 -
⟦s000445⟧ dress, trade names, business names, designs, logos, slogans (and all translations, adaptations, derivations and combinations of the foregoing) indicia and other source and/or business identifiers, and all registrations or applications for registrations which have heretofore been or may hereafter be issued thereon throughout the world; copyrights and copyright applications; (including copyrights for computer programs) and all tangible and intangible property embodying the copyrights, unpatented inventions (whether or not patentable); patents and patent applications; industrial design applications and registered industrial designs; license agreements related to any of the foregoing and income therefrom; books, records, writings, computer tapes or disks, flow diagrams, specification sheets, computer software, source codes, object codes, executable code, data, databases and other physical manifestations, embodiments or incorporations of any of the foregoing; all other intellectual property; and all common law and other rights throughout the world in and to all of the foregoing.
⟦s000446⟧ “ Interest Payment Date ” means, (a) as to any SOFR Loan, the last day of each Interest Period applicable to such Loan and the Maturity Date; provided , however , that if any Interest Period for a SOFR Loan exceeds three months, the respective dates that fall every three months after the beginning of such Interest Period shall also be Interest Payment Dates; and (b) as to any Base Rate Loan, the last Business Day of each March, June, September and December and the Maturity Date.
⟦s000447⟧ “ Interest Period ” means, as to each SOFR Loan, the period commencing on the date such SOFR Loan is disbursed or Converted to or continued as a SOFR Loan and ending on the date one or three months thereafter, as selected by the Borrower in its Committed Loan Notice; provided that:
⟦s000448⟧ (i) any Interest Period that would otherwise end on a day that is not a U.
⟦s000449⟧ S.

===== seg10 | Additional pricing constructs and definitions | range s000450–s000499 | score=0.5 =====
Rationale: Provides definitions and constructs (Applicable Margin, Benchmark, Benchmark Replacement, Total Leverage Ratio, Benchmark Transition Event) that feed into pricing calculations; does not itself expose the exact pricing mechanics but is necessary to interpret and apply the pricing engine.
Summary: Additional pricing constructs and definitions that feed into pricing and leverage metrics.
Tags: Pricing, Applicable Margin, Benchmark

⟦s000450⟧ Government Securities Business Day shall be extended to the next succeeding U.
⟦s000451⟧ S.
⟦s000452⟧ Government Securities Business Day unless such U.
⟦s000453⟧ S.
⟦s000454⟧ Government Securities Business Day falls in another calendar month, in which case such Interest Period shall end on the preceding U.
⟦s000455⟧ S.
⟦s000456⟧ Government Securities Business Day;
⟦s000457⟧ (ii) any Interest Period that begins on the last U.
⟦s000458⟧ S.
⟦s000459⟧ Government Securities Business Day of a calendar month (or on a day for which there is no numerically corresponding day in the calendar month at the end of such Interest Period) shall end on the last U.
⟦s000460⟧ S.
⟦s000461⟧ Government Securities Business Day of the calendar month at the end of such Interest Period;
⟦s000462⟧ (iii) no Interest Period shall extend beyond the Maturity Date; and
⟦s000463⟧ (iv) notwithstanding the provisions of clause (iii), no Interest Period shall have a duration of less than one (1) month, and if any Interest Period applicable to a SOFR Borrowing would be for a shorter period, such Interest Period shall not be available hereunder.
⟦s000464⟧ For purposes hereof, the date of a Borrowing initially shall be the date on which such Borrowing is made and thereafter shall be the effective date of the most recent Conversion or continuation of such Borrowing.
⟦s000465⟧ “ Internal Control Event ” means a material weakness in, or fraud that involves management or other employees who have a significant role in, the Borrower’s and/or its Subsidiaries’ internal controls over financial reporting, in each case as described in the Securities Laws.
⟦s000466⟧ “ Inventory ” has the meaning given that term in the UCC, and shall also include, without limitation, all: (a) goods which (i) are leased by a Person as lessor, (ii) are held by a Person for sale or lease
⟦s000467⟧ - 25 -
⟦s000468⟧ or to be furnished under a contract of service, (iii) are furnished by a Person under a contract of service, or (iv) consist of raw materials, work in process, or materials used or consumed in a business; (b) goods of said description in transit; (c) goods of said description which are returned, repossessed or rejected; and (d) packaging, advertising, and shipping materials related to any of the foregoing.
⟦s000469⟧ “ Investment ” means, as to any Person, any direct or indirect (a) purchase or other acquisition of Equity Interests of another Person, (b) loan, advance or capital contribution to, Guarantee or assumption of debt of, or purchase or other acquisition of any other debt or interest in, another Person, or (c) any Acquisition.
⟦s000470⟧ For purposes of covenant compliance, the amount of any Investment shall be the amount actually invested, without adjustment for subsequent increases or decreases in the value of such Investment.
⟦s000471⟧ “ IRS ” means the United States Internal Revenue Service.
⟦s000472⟧ “ Joinder Agreement ” means an agreement, in form satisfactory to the Agent pursuant to which, among other things, a Person becomes a party to, and bound by the terms of, this Agreement and/or the other Loan Documents in the same capacity and to the same extent as either a Borrower or a Guarantor.
⟦s000473⟧ “ Laws ” means, collectively, all international, foreign, Federal, state and local statutes, treaties, rules, guidelines, regulations, ordinances, codes and administrative or judicial precedents or authorities, including the interpretation or administration thereof by any Governmental Authority charged with the enforcement, interpretation or administration thereof, and all applicable administrative orders, directed duties, requests, licenses, authorizations and permits of, and agreements with, any Governmental Authority, in each case whether or not having the force of law.
⟦s000474⟧ “ LCA Election ” means the Borrower’s election to exercise its right to designate any Acquisition (or similar Investment) as a Limited Condition Acquisition pursuant to the terms hereof.
⟦s000475⟧ “ LCA Test Date ” means the date on which the definitive agreement for any such Limited Condition Acquisition is entered into.
⟦s000476⟧ “ Lease ” means any written agreement pursuant to which a Loan Party is entitled to the use or occupancy of any real property for any period of time.
⟦s000477⟧ “ Lender ” has the meaning specified in the introductory paragraph hereto.
⟦s000478⟧ “ Lending Office ” means, as to any Lender, the office or offices of such Lender described as such in such Lender’s Administrative Questionnaire, or such other office or offices as a Lender may from time to time notify the Borrower and the Agent.
⟦s000479⟧ “ Lien ” means any mortgage, deed of trust, pledge, hypothecation, assignment, encumbrance, lien (statutory or other), charge, or other security interest or preferential arrangement in the nature of a security interest of any kind or nature whatsoever (including the lien or retained security title of a conditional vendor, any easement, right of way or other encumbrance on title to real property, but excluding the interests of lessors under operating leases).
⟦s000480⟧ “ Limited Condition Acquisition ” means any Permitted Acquisition (or similar Investment) by the Borrower or one or more of the Restricted Subsidiaries, the consummation of which is not conditioned on the availability of, or on obtaining, third-party financing.
⟦s000481⟧ - 26 -
⟦s000482⟧ “ Liquidity ” means, at any time of determination, an amount determined for Borrower and its Subsidiaries on a consolidated basis equal to the amount of (a) Qualified Cash of Borrower and its Subsidiaries plus (b) the amount available to be borrowed under the ABL Facility at such time (after giving effect to all reserves and any restrictions on availability) based on the Borrowing Base Certificate (as defined in the ABL Credit Agreement) most recently delivered to the ABL Agent pursuant to the ABL Credit Agreement and taking into account any borrowing or repayments since the date of such Borrowing Base Certificate (provided, for the avoidance of doubt, that the amount in clause (b) shall be $0.
⟦s000483⟧ 00 to the extent a default or event of default exists and is continuing under the ABL Facility at the time “Liquidity” is calculated hereunder).
⟦s000484⟧ “ Loan ” means an extension of credit by a Lender to the Borrower under Article II .
⟦s000485⟧ “ Loan Documents ” means this Agreement, the Perfection Certificate, the Fee Letter, the Security Documents, the ABL Intercreditor Agreement, the VCOC Management Rights Agreement and any other agreement now or hereafter executed and delivered in connection herewith, each as amended and in effect from time to time.
⟦s000486⟧ “ Loan Parties ” means, collectively, the Borrower and each Guarantor.
⟦s000487⟧ “ Master Agreement ” has the meaning specified in the definition of “Swap Contract”.
⟦s000488⟧ “ Material Adverse Effect ” means (a) a material adverse change in, or a material adverse effect upon, the operations, business, properties, liabilities (actual or contingent), or financial condition of the Borrower and its Restricted Subsidiaries taken as a whole; (b) a material impairment of the ability of the Loan Parties taken as a whole to perform their obligations under the Loan Documents to which they are a party; or (c) a material impairment of the rights and remedies of the Agent or the Lenders under the Loan Documents taken as a whole or a material adverse effect upon the legality, validity, binding effect or enforceability against the Loan Parties of the Loan Documents to which they are a party taken as a whole.
⟦s000489⟧ In determining whether any individual event would result in a Material Adverse Effect, notwithstanding that such event in and of itself does not have such effect, a Material Adverse Effect shall be deemed to have occurred if the cumulative effect of such event and all other then-existing events would result in a Material Adverse Effect.
⟦s000490⟧ “ Material Indebtedness ” means Indebtedness (other than the Obligations) of the Loan Parties in an aggregate principal amount exceeding $10,000,000.
⟦s000491⟧ Notwithstanding the foregoing, any Indebtedness incurred under clause (j) of the definition of “Permitted Indebtedness” shall at all times be deemed Material Indebtedness hereunder.
⟦s000492⟧ For purposes of determining the amount of Material Indebtedness at any time, (a) the amount of the obligations in respect of any Swap Contract at such time shall be calculated at the Swap Termination Value thereof, (b) undrawn and committed amounts shall be included, and (c) all amounts owing to all creditors under any combined or syndicated credit arrangement shall be included.
⟦s000493⟧ “ Material Real Estate ” means any piece of Real Estate located in the United States or the United Kingdom that is owned, respectively, in fee or on a freehold basis by a Loan Party having a fair market value in excess of $3,500,000 as reasonably determined, in good faith, by the Borrower and reasonably acceptable to the Agent.
⟦s000494⟧ For the avoidance of doubt, Material Real Estate shall not include any leased Store.
⟦s000495⟧ “ Maturity Date ” means with respect to any Term Loans, the date that is five years after the Closing Date; provided that if any such day is not a Business Day, the Maturity Date shall be the Business Day immediately preceding such day.
⟦s000496⟧ - 27 -
⟦s000497⟧ “ Maximum ABL Principal Amount ” means, as of any date of determination, (a) one hundred and ten percent (110%) of $275,000,000, minus (b) permanent reductions of revolving loan commitments under the ABL Loan Documents after the date hereof; provided that such commitment reductions are accompanied by principal payments to the extent such principal payments are required pursuant to the ABL Credit Agreement as in effect as of the date hereof (but excluding any permanent reductions made in connection with a Refinancing permitted under Section 7.
⟦s000498⟧ 12 hereof) plus (c) interest, fees, costs, expenses, indemnities, and such other similar amounts payable pursuant to the terms of the ABL Loan Documents as in effect as of the date hereof (or as amended in accordance with Section 7.
⟦s000499⟧ 12 hereof), whether or not the same are added to the principal amount of the ABL Obligations and including the same as would accrue and become due but for the commencement of an Insolvency Proceeding, whether or not allowed in any such Insolvency Proceeding plus (d) in connection with an ABL DIP Financing (as defined in the ABL Intercreditor Agreement), $20,625,000.

===== seg11 | Entity structure and indebtedness constructs | range s000500–s000549 | score=0.5 =====
Rationale: Defines covenants and indebtedness framework that are necessary to interpret pricing math; mentions pricing-relevant terms (Applicable Margin, Base Rate/SOFR, Benchmark Transition, Total Leverage Ratio), but does not itself state the exact margins, rate tables, or adjustment logic.
Summary: Affiliates, guarantees, and framework for indebtedness constructs.
Tags: Guaranty, Indebtedness, Affiliates

⟦s000500⟧ “ Maximum Rate ” has the meaning provided therefor in Section 10.
⟦s000501⟧ 10 .
⟦s000502⟧ “ Measurement Period ” means, at any date of determination, the most recently completed four Fiscal Quarter period.
⟦s000503⟧ “ Moody’s ” means Moody’s Investors Service, Inc. and any successor thereto.
⟦s000504⟧ “ Mortgage ” means an agreement, including, but not limited to, a mortgage, deed of trust, deed to secure debt or any other document, creating and evidencing a Lien on a Mortgaged Property in favor of the Agent, for the benefit of the Credit Parties, securing the Obligations, which shall be in form and substance reasonably satisfactory to the Agent, with such schedules and including such provisions as shall be necessary to conform such document to applicable local law or as shall be customary under applicable local law.
⟦s000505⟧ “ Mortgaged Property ” means (a) subject to Section 6.
⟦s000506⟧ 15 , each piece of Real Estate identified as owned real property on Schedule 3 to the Perfection Certificate and (b) each piece of Material Real Estate, if any, that shall be subject to a Mortgage delivered after the Closing Date pursuant to Sections 6.
⟦s000507⟧ 11 , 6.
⟦s000508⟧ 15 and/or 6.
⟦s000509⟧ 16 .
⟦s000510⟧ “ Multiemployer Plan ” means any employee benefit plan of the type described in Section 4001(a)(3) of ERISA, to which the Borrower or any ERISA Affiliate makes or is obligated to make contributions or has any continuing liability.
⟦s000511⟧ “ Multiple Employer Plan ” means a Plan which has two or more contributing sponsors (including the Borrower or any ERISA Affiliate) at least two of whom are not under common control, as such a plan is described in Section 4064 of ERISA.
⟦s000512⟧ “ Net Proceeds ” means (a) with respect to any Asset Sale by, Extraordinary Receipt received by or paid to the account of, or any Casualty Event experienced by any Loan Party or any of its Restricted Subsidiaries, the excess, if any, of (i) the sum of cash and Permitted Cash Equivalents received by the Loan Parties and their Restricted Subsidiaries in connection with such transaction (including any cash or Permitted Cash Equivalents received by way of deferred payment pursuant to, or by monetization of, a note receivable or otherwise, but only as and when so received (which deferred payment shall be aggregated with prior payments for purposes of determining the amount of Net Proceeds)) minus (ii) the sum of (A) the principal amount of any Indebtedness that is secured by any applicable asset by a Lien permitted hereunder which is senior to the Agent’s Lien (if any) on such asset and that is required to be repaid (or to establish an escrow for the future repayment thereof) in connection with such transaction (other than Indebtedness under the Loan Documents), (B) the aggregate amount of any ABL Obligations that are
⟦s000513⟧ - 28 -
⟦s000514⟧ required to be prepaid (or are voluntarily prepaid) with such amounts in accordance with the terms of the ABL Loan Documents (to the extent such amounts constitute proceeds of ABL Priority Collateral), (C) the reasonable and customary out-of-pocket expenses incurred by such Loan Party or such Subsidiary in connection with such transaction (including, without limitation, appraisals, and brokerage, legal, title and recording or transfer tax expenses and commissions) and paid to third parties (other than Affiliates) and (D) in the case of Net Proceeds from Extraordinary Receipts, (I) the aggregate amount required to be paid by the Loan Parties and their Restricted Subsidiaries to other Persons that are not Affiliates in relation to the event or condition giving rise to such Extraordinary Receipts (including any amounts retained by or paid to such other Persons entitled to such amounts) and (II) the aggregate amount that reimburses the Loan Parties and their Restricted Subsidiaries for amounts previously incurred directly attributable to the event or condition giving rise to such Extraordinary Receipts (including payment of any fees, costs and expenses arising in connection therewith); and (b) with respect to the sale or issuance of any Equity Interest by any Loan Party or any of its Restricted Subsidiaries, or the incurrence or issuance of any Indebtedness by any Loan Party or any of its Restricted Subsidiaries, the excess of (i) the sum of the cash and Permitted Cash Equivalents received in connection with such transaction minus (ii) the underwriting discounts and commissions, and other reasonable and customary out-of-pocket expenses, incurred by such Loan Party or such Subsidiary in connection therewith and paid to third parties (other than Affiliates).
⟦s000515⟧ “ Non-Consenting Lender ” has the meaning provided therefor in Section 10.
⟦s000516⟧ 1(c) .
⟦s000517⟧ “ Non-Defaulting Lender ” means, at any time, each Lender that is not a Defaulting Lender at such time.
⟦s000518⟧ “ Non-Loan Party Acquisition Sub-Limit ” has the meaning provided therefor in the defined term “Permitted Acquisition”.
⟦s000519⟧ “ Non-Loan Party Investment Basket ” has the meaning provided therefor in clause (c)(iv) of the defined term “Permitted Investments”.
⟦s000520⟧ “ Note ” means a promissory note made by the Borrower in favor of a Lender evidencing Loans made by such Lender, substantially in the form of Exhibit C , as each may be amended, supplemented or modified from time to time.
⟦s000521⟧ “ NPL ” means the National Priorities List under CERCLA.
⟦s000522⟧ “ Obligations ” means all advances to, and debts (including principal, interest, fees, costs, expenses and premiums (including any Applicable Prepayment Premium)), liabilities, obligations, covenants, indemnities, and duties of, any Loan Party arising under any Loan Document with respect to any Loan, whether direct or indirect (including those acquired by assumption), absolute or contingent, due or to become due, now existing or hereafter arising and including interest, fees, costs, expenses and indemnities that accrue after the commencement by or against any Loan Party or any Affiliate thereof of any proceeding under any Debtor Relief Laws naming such Person as the debtor in such proceeding, regardless of whether such interest, fees costs, expenses and indemnities are allowed claims in such proceeding.
⟦s000523⟧ “ OFAC ” means the Office of Foreign Assets Control of the United States Department of the Treasury.
⟦s000524⟧ “ option right ” has the meaning set forth in clause (a) of the definition of “Change of Control”.
⟦s000525⟧ - 29 -
⟦s000526⟧ “ Organization Documents ” means, (a) with respect to any corporation, the certificate or articles of incorporation and the bylaws (or equivalent or comparable constitutive documents with respect to any non-U.
⟦s000527⟧ S.
⟦s000528⟧ jurisdiction); (b) with respect to any limited liability company, the certificate or articles of formation or organization and operating or LLC agreement (or equivalent or comparable constitutive documents with respect to any non-U.
⟦s000529⟧ S.
⟦s000530⟧ jurisdiction); (c) with respect to any partnership, joint venture, trust or other form of business entity, the partnership, joint venture or other applicable agreement of formation or organization and any agreement, instrument, filing or notice with respect thereto filed in connection with its formation or organization with the applicable Governmental Authority in the jurisdiction of its formation or organization and, if applicable, any certificate or articles of formation or organization of such entity, and (d) in each case, all shareholder or other equity holder agreements, voting trusts and similar arrangements to which such Person is a party.
⟦s000531⟧ “ Other Connection Taxes ” means, with respect to any Recipient, Taxes imposed as a result of a present or former connection between such Recipient and the jurisdiction imposing such Tax (other than connections arising solely from such Recipient having executed, delivered, become a party to, performed its obligations under, received payments under, received or perfected a security interest under, engaged in any other transaction pursuant to or enforced any Loan Document, or sold or assigned an interest in any Loan or Loan Document).
⟦s000532⟧ “ Other Taxes ” means all present or future stamp, court or documentary, intangible, recording, filing or similar Taxes that arise from any payment made under, from the execution, delivery, performance, enforcement or registration of, from the receipt or perfection of a security interest under, or otherwise with respect to, any Loan Document, except any such Taxes that are Other Connection Taxes imposed with respect to an assignment (other than with respect to an assignment made pursuant to Section 3.
⟦s000533⟧ 6 ).
⟦s000534⟧ “ Outstanding Amount ” means with respect to Loans on any date, the aggregate outstanding principal amount thereof after giving effect to any borrowings and prepayments or repayments of Loans occurring on such date.
⟦s000535⟧ “ Parallel Debt ” has the meaning specified in Section 9.
⟦s000536⟧ 16(a).
⟦s000537⟧ “ Participant ” has the meaning specified in Section 10.
⟦s000538⟧ 6(d) .
⟦s000539⟧ “ Participant Register ” has the meaning provided therefor in Section 10.
⟦s000540⟧ 6(d) .
⟦s000541⟧ “ Patriot Act ” has the meaning specified in Section 5.
⟦s000542⟧ 27 .
⟦s000543⟧ “ PBGC ” means the Pension Benefit Guaranty Corporation.
⟦s000544⟧ “ PCAOB ” means the Public Company Accounting Oversight Board.
⟦s000545⟧ “ Pension Funding Rules ” means the rules of the Code and ERISA regarding minimum required contributions (including any installment payment thereof) to Pension Plans and Multiemployer Plans and set forth in Sections 412 , 430 , 431 , 432 and 436 of the Code and Sections 302 , 303 , 304 and 305 of ERISA.
⟦s000546⟧ “ Pension Plan ” means any employee pension benefit plan (including a Multiple Employer Plan but excluding a Multiemployer Plan) that is maintained or is contributed to by the Borrower or any ERISA Affiliate and is either covered by Title IV of ERISA or is subject to the minimum funding standards under Section 412 of the Code.
⟦s000547⟧ - 30 -
⟦s000548⟧ “ Perfection Certificate ” means the Perfection Certificate dated as of the Closing Date executed by the Loan Parties, together with any other Perfection Certificates delivered to the Agent in accordance with the Guaranty and Security Agreement.
⟦s000549⟧ “ Periodic Term SOFR Determination Day ” has the meaning specified in the definition of “Term SOFR”.

===== seg12 | Additional covenants and consent mechanics (preliminary) | range s000550–s000599 | score=0.5 =====
Rationale: This segment frames covenants and conditions that govern or feed the pricing framework (e.g., benchmark transition, leverage/conditions precedent) but does not spell out the exact rate/margin formulas or fallback logic.
Summary: Introductory covenants references and miscellaneous conditions preceding main covenants.
Tags: Covenants, Consent, Conditions Precedent

⟦s000550⟧ “ Permitted Acquisition ” means an Acquisition in which all of the following conditions are satisfied:
⟦s000551⟧ (a) any assets acquired shall be utilized in, and if the Acquisition involves a merger, consolidation or acquisition of Equity Interests, the Person which is the subject of such Acquisition shall be engaged in, a business otherwise permitted to be engaged in by the Borrower and its Restricted Subsidiaries under this Agreement;
